reportDate,zip,confirmed_cases,total_tested
3/17/21 0:00,60150,99,1371
3/17/21 0:00,60151,303,3245
3/17/21 0:00,60152,1012,10407
3/17/21 0:00,60153,2335,22154
3/17/21 0:00,60154,1507,19110
3/17/21 0:00,60155,777,8152
3/17/21 0:00,60156,2270,23015
3/17/21 0:00,60157,214,2232
3/17/21 0:00,60159,47,338
3/17/21 0:00,60160,3418,26164
3/17/21 0:00,60161,11,173
3/17/21 0:00,60162,1401,16138
3/17/21 0:00,60163,579,5301
3/17/21 0:00,60164,2916,33106
3/17/21 0:00,60165,672,3808
3/17/21 0:00,60168,20,198
3/17/21 0:00,60169,2832,31180
3/17/21 0:00,60170,7,117
3/17/21 0:00,60171,1092,9625
3/17/21 0:00,60172,2217,23104
3/17/21 0:00,60173,870,10657
3/17/21 0:00,60174,2788,39131
3/17/21 0:00,60175,2358,36965
3/17/21 0:00,60176,1318,9802
3/17/21 0:00,60177,2524,35315
3/17/21 0:00,60178,1776,20539
3/17/21 0:00,60180,108,1148
3/17/21 0:00,60181,2699,29185
3/17/21 0:00,60183,10,127
3/17/21 0:00,60184,231,2137
3/17/21 0:00,60185,4185,43393
3/17/21 0:00,60186,12,111
3/17/21 0:00,60187,2079,50445
3/17/21 0:00,60188,4163,41132
3/17/21 0:00,60189,2109,31383
3/17/21 0:00,60190,1014,12037
3/17/21 0:00,60191,1536,13994
3/17/21 0:00,60192,958,13192
3/17/21 0:00,60193,2905,40562
3/17/21 0:00,60194,1406,24719
3/17/21 0:00,60195,291,3604
3/17/21 0:00,60196,8,295
3/17/21 0:00,60201,2247,101859
3/17/21 0:00,60202,1945,51307
3/17/21 0:00,60203,255,5387
3/17/21 0:00,60204,13,322
3/17/21 0:00,60208,17,54877
3/17/21 0:00,60301,185,3834
3/17/21 0:00,60302,1857,43085
3/17/21 0:00,60303,15,306
3/17/21 0:00,60304,895,20100
3/17/21 0:00,60305,707,12852
3/17/21 0:00,60401,765,13311
3/17/21 0:00,60402,7979,66581
3/17/21 0:00,60403,1714,49245
3/17/21 0:00,60404,1924,19755
3/17/21 0:00,60406,2838,27554
3/17/21 0:00,60407,131,1452
3/17/21 0:00,60408,552,5254
3/17/21 0:00,60409,3302,36474
3/17/21 0:00,60410,1313,11415
3/17/21 0:00,60411,5322,73813
3/17/21 0:00,60412,9,202
3/17/21 0:00,60415,1146,15174
3/17/21 0:00,60416,992,8972
3/17/21 0:00,60417,1418,25408
3/17/21 0:00,60418,953,11641
