City,Metro,Date,All Beds,1 Beds,2 Beds
Seattle,Seattle,8/1/2016,"2,154","1,980","2,796"
Seattle,Seattle,9/1/2016,"2,154","1,967","2,795"
Seattle,Seattle,10/1/2016,"2,133","1,949","2,761"
Seattle,Seattle,11/1/2016,"2,109","1,924","2,705"
Seattle,Seattle,12/1/2016,"2,101","1,917","2,689"
Seattle,Seattle,1/1/2017,"2,126","1,946","2,736"
Seattle,Seattle,2/1/2017,"2,141","1,978","2,746"
Seattle,Seattle,3/1/2017,"2,113","1,959","2,667"
Seattle,Seattle,4/1/2017,"2,146","2,004","2,734"
Seattle,Seattle,5/1/2017,"2,176","2,047","2,743"
Seattle,Seattle,6/1/2017,"2,210","2,063","2,788"
Seattle,Seattle,7/1/2017,"2,210","2,069","2,803"
Seattle,Seattle,8/1/2017,"2,195","2,066","2,763"
Seattle,Seattle,9/1/2017,"2,181","2,048","2,805"
Seattle,Seattle,10/1/2017,"2,138","2,004","2,771"
Seattle,Seattle,11/1/2017,"2,080","1,953","2,717"
Seattle,Seattle,12/1/2017,"2,071","1,949","2,694"
Seattle,Seattle,1/1/2018,"2,085","1,964","2,684"
Seattle,Seattle,2/1/2018,"2,101","1,974","2,702"
Seattle,Seattle,3/1/2018,"2,094","1,970","2,675"
Seattle,Seattle,4/1/2018,"2,105","1,987","2,687"
Seattle,Seattle,5/1/2018,"2,159","2,017","2,777"
Seattle,Seattle,6/1/2018,"2,176","2,022","2,830"
Seattle,Seattle,7/1/2018,"2,180","2,031","2,820"
Seattle,Seattle,8/1/2018,"2,177","2,020","2,807"
Seattle,Seattle,9/1/2018,"2,177","2,010","2,793"
Seattle,Seattle,10/1/2018,"2,134","1,971","2,740"
Seattle,Seattle,11/1/2018,"2,095","1,948","2,706"
Seattle,Seattle,12/1/2018,"2,081","1,934","2,698"
Seattle,Seattle,1/1/2019,"2,125","1,969","2,754"
Seattle,Seattle,2/1/2019,"2,136","1,984","2,774"
Seattle,Seattle,3/1/2019,"2,158","2,014","2,775"
Seattle,Seattle,4/1/2019,"2,167","2,040","2,789"
Seattle,Seattle,10/1/2019,"2,221","2,071","2,851"
Seattle,Seattle,11/1/2019,"2,151","2,013","2,724"
Seattle,Seattle,12/1/2019,"2,024","1,920","2,551"
Seattle,Seattle,1/1/2020,"1,955","1,857","2,450"
