CENSUS TRACT,ARSON,ASSAULT OFFENSES,BAD CHECKS,BRIBERY,BURGLARY/BREAKING&ENTERING,COUNTERFEITING/FORGERY,CURFEW/LOITERING/VAGRANCY VIOLATIONS,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,DRIVING UNDER THE INFLUENCE,DRUG/NARCOTIC OFFENSES,EMBEZZLEMENT,EXTORTION/BLACKMAIL,"FAMILY OFFENSES, NONVIOLENT",FRAUD OFFENSES,GAMBLING OFFENSES,HOMICIDE OFFENSES,KIDNAPPING/ABDUCTION,LARCENY-THEFT,LIQUOR LAW VIOLATIONS,MOTOR VEHICLE THEFT,PEEPING TOM,PORNOGRAPHY/OBSCENE MATERIAL,PROSTITUTION OFFENSES,ROBBERY,SEX OFFENSES,"SEX OFFENSES, CONSENSUAL",STOLEN PROPERTY OFFENSES,TRESPASS OF REAL PROPERTY,WEAPON LAW VIOLATIONS,TOTAL
Census Tract 54,0.0,108.0,22.0,0.0,346.0,4.0,0.0,152.0,31.0,21.0,3.0,1.0,0.0,89.0,0.0,0.0,0.0,718.0,7.0,166.0,0.0,0.0,0.0,13.0,0.0,0.0,5.0,28.0,14.0,1728
Census Tract 56,9.0,60.0,6.0,0.0,160.0,7.0,0.0,123.0,14.0,5.0,0.0,1.0,0.0,75.0,0.0,0.0,0.0,431.0,1.0,45.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,946
Census Tract 57,1.0,135.0,17.0,0.0,168.0,1.0,0.0,189.0,15.0,6.0,5.0,2.0,0.0,73.0,0.0,0.0,0.0,497.0,1.0,54.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,8.0,7.0,1189
Census Tract 58.01,3.0,145.0,10.0,0.0,192.0,5.0,1.0,149.0,55.0,13.0,4.0,1.0,0.0,99.0,0.0,0.0,0.0,525.0,2.0,91.0,0.0,1.0,0.0,12.0,0.0,0.0,4.0,19.0,6.0,1337
Census Tract 58.02,4.0,178.0,17.0,0.0,244.0,6.0,0.0,210.0,102.0,20.0,4.0,1.0,0.0,71.0,0.0,0.0,0.0,501.0,3.0,100.0,0.0,2.0,1.0,15.0,0.0,0.0,2.0,10.0,4.0,1495
Census Tract 59,4.0,151.0,7.0,0.0,216.0,3.0,0.0,128.0,28.0,5.0,5.0,0.0,0.0,86.0,0.0,0.0,0.0,509.0,1.0,123.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,14.0,2.0,1286
Census Tract 6,7.0,707.0,47.0,0.0,497.0,42.0,0.0,414.0,103.0,192.0,17.0,3.0,0.0,208.0,0.0,0.0,0.0,1890.0,14.0,196.0,0.0,1.0,439.0,125.0,0.0,0.0,31.0,100.0,48.0,5081
Census Tract 60,5.0,116.0,21.0,0.0,274.0,4.0,0.0,164.0,70.0,15.0,1.0,1.0,0.0,98.0,0.0,0.0,0.0,790.0,2.0,165.0,0.0,1.0,2.0,25.0,0.0,0.0,3.0,28.0,8.0,1793
Census Tract 61,1.0,127.0,12.0,0.0,362.0,4.0,0.0,166.0,31.0,15.0,6.0,1.0,0.0,119.0,0.0,0.0,0.0,787.0,1.0,221.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,11.0,7.0,1886
Census Tract 62,1.0,61.0,8.0,0.0,172.0,1.0,0.0,130.0,23.0,14.0,3.0,1.0,0.0,84.0,0.0,0.0,0.0,572.0,4.0,85.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,8.0,3.0,1179
Census Tract 63,0.0,68.0,19.0,0.0,179.0,6.0,0.0,121.0,19.0,13.0,2.0,1.0,0.0,83.0,0.0,0.0,0.0,433.0,5.0,64.0,0.0,0.0,0.0,9.0,0.0,0.0,2.0,14.0,1.0,1039
